id,prompt,step,cfg,sampler,width,height,token_count,timestamp
53237,"elizabeth olsen as the goddess of futurism and time!!!!!!, golden ratio!!!!!, centered, trending on artstation, 8 k quality, cgsociety contest winner, artstation hd, artstation hq, luminous lighting ",20,7.0,8,512,512,56,0
29443,"intergalactic petting zoo by Dan Seagrave and by Dan Witz, glossy digital painting, fantasycore",20,7.0,8,512,512,22,0
29410,"Landscape of the nuclear wasteland of new orleans, down-town, city, concept art by Ray Lederer, fallout concept art, wallpaper, trending on art station",20,10.0,8,768,512,36,0
7769,"underworld, darkwave, darksynth, concept art, sharp, digital matte painting, art by luis royo, greg rutkowski, wlop, dramatic lighting, trending on artstation ",20,7.0,8,512,512,43,0
3821,"chris evans!!!!!! wearing a babushka scarf, charcoal painting by zdzisław beksinski, trending on cgsociety, remodernism, matte drawing, zbrush, hyper realism ",20,7.0,8,512,512,49,0
10159,tifa lockheart in ghost in the shell!! by masamune shirow ,20,10.0,8,512,512,17,0
27896,portrait of Scarlett Johansson by Manet,20,7.0,8,512,704,7,0
28895,"a barrack made of thatch and straw and cheap material in a mystical forest full of wonders, pine trees, magical atmosphere, trending on artstation, 30mm, by Noah Bradley trending on ArtStation, deviantart, high detail, stylized portrait H 704",20,7.0,8,704,512,56,0
32945,the letter man cartoon character ,20,7.0,8,512,512,5,0
44671,"stunningly beautiful, elvis presley in jungle, symmetrical face, golden hour, smooth, focus, highly detailed, hyper realistic, dramatic lighting, elegant, intricate, concept art, art by wlop, mars ravelo, greg rutowski, artstation ",50,7.0,8,512,768,52,0
15922," Full shot of a ghoulpunk high priestess, defined facial features, intricate, gothic punk, malice mizer, ai yazawa, symmetrical facial features. By Ruan Jia and Artgerm and Range Murata and WLOP and Ross Tran and William-Adolphe Bouguereau and Beeple. Key Art. Fantasy Illustration. award winning, Artstation, intricate details, realistic, Hyperdetailed, 8k resolution. Iridescent accents.",20,7.0,8,576,960,96,0
8574,"realistic portrait painting of ( ( okami ) ) cat, plain white background, no people, art by jc leyendecker, phil hale, angular, brush strokes, painterly, crisp, portrait of a cat, cat portrait painting ",20,10.0,8,512,512,48,0
11415,"lunch at a medieval hobbit inn, ornate, beautiful, atmosphere, beer, fruit, roasted pig, bonfire, ribs, drumsticks, vibe, mist, smoke, chimney, rain, wet, pristine, puddles, waterfall, clear, stream, bridge, forest, flowers, concept art illustration, color page, 4 k, tone mapping, doll, akihiko yoshida, james jean, andrei riabovitchev, marc simonetti, yoshitaka amano, digital illustration, greg rutowski, volumetric lighting, sunbeams, particles ",50,7.0,8,512,512,117,0
31527,"young arabian human half wolf. castlevania. art by kentaro miura, kentaro miura artwork, detailed fullbody ",20,12.0,5,512,768,26,0
19072,"A girl playing tennis, Oil painting",20,7.0,8,512,512,7,0
27685,"an androgynous sundress for a fantasy gala, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha",20,7.0,8,512,512,52,0
17643,"breathtaking detailed concept art painting of a woman with snakes crawling in her mouth and eyes flowers, saint, with anxious, piercing eyes, ornate background, amalgamation of leaves and flowers, by Hsiao-Ron Cheng, James jean, Miho Hirano, takato yamamoto, extremely moody lighting, 8K",20,7.0,8,1024,512,62,0
2351,"a fantasy style portrait painting a character if xi jinping and thanos had a son, purple skin, powerful chin, thanos style traits, painting, unreal 5, daz., rpg, portrait, extremely detailed, artgerm greg rutkowski _ greg ",20,15.0,8,512,704,55,0
56444,"wide angle shot of a black man with long curly hair, mummified in guitar strings, lying in a golden sarcophagus on display in a museum, fantasy painting by zdzisław beksinski ",35,7.0,8,512,512,43,0
46141,photo of a cat licking its nose ,20,7.0,8,512,512,7,0
22729,"facial portrait of a young pretty woman in flowing dress, arrogant, mysterious, long fine blonde hair, delicate, looking at camera!!!, slightly awkward smile!, realistic face, no hands visible, intricate, stylish, elegant, grimdark fantasy, vibrant, extremely detailed painting by Greg Rutkowski and Steve Henderson and Harumi Hironaka",24,9.0,8,512,512,74,0
44193,cleopatra in space. watercolor. dramatic. amazing painting. formal. beautiful. high resolution. highly realistic. close - up. trending on artstation ,20,7.0,8,512,512,31,0
5668,"a fashion model, creative, brown skin, digital art, photo manipulation, colossal, smoke, artstation, giant, standing, road, ",20,7.0,8,512,512,28,0
58959,"intricately beautiful designed clow cards, Madoka Magica, high detail, painting, by CLAMP, in the style of Makoto Shinkai, High resolution, realistic, 8k, 4k, peaceful, tranquility ",20,7.0,8,512,768,47,0
1842,a portrait of walter white in a colorful environment ,20,7.0,8,640,768,9,0
32160,"art by cat flint, a beautiful black ink linocut print of the cactus forest, high hills, 8 k, frostbite 3 engine, cryengine, ground level shot, dof, trending on artstation, digital art, crepuscular ray ",20,13.0,4,512,704,55,0
13545,"A highly detailed and realistic concept art showing a rectangular object made of black glass in the center of the image and with Jupiter the sun and the other planets in the background, artstation 4k ",20,8.0,8,512,512,38,0
49252,"portrait of aragorn kissing arven by atey ghailan, by greg rutkowski, by greg tocchini, by james gilleard, by joe fenton, by kaethe butcher, dynamic lighting, gradient light blue, brown, blonde cream and white color scheme, grunge aesthetic ",50,14.0,8,576,512,63,0
46888,"church, art nouveau architecture, fantasy, art by joseph leyendecker, peter mohrbacher, ivan aivazovsky, ruan jia, reza afshar, marc simonetti, alphonse mucha ",20,7.0,8,960,512,46,0
13761,A cyberpunk portrait painted by Pablo Picasso,20,4.0,8,512,512,9,0
34716,"ethereal turkish village, art deco, in bali island, starry night, sharp focus, trending artstation, octane render, cgsociety, surrealist, cinematic, midsommar ",20,9.0,8,896,512,42,0
35429,"3 d close - up beautiful dark haired business woman, iridescent accents. by wlop, tooth wu, greg rutkowski, alena aenami, beeple, octane render, ultra realistic. high contrast. black teal gold teal white iridescent ",20,10.0,8,704,832,57,0
44558,ikenaga mandelbulb ,20,7.0,8,512,512,7,0
15602,"Purple hair, creative colouring Portrait of woman face profile, fashion, coloured strands of hair, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha, 8k",20,13.0,8,640,1024,61,0
30485,Jessica Alba as a mermaid,20,7.0,8,512,512,5,0
44654,"in full growth portrait of hippie model girl jodhpurs hyperborea winter traveler treasure hunter greg manchess painting by sargent and leyendecker, fantasy, medium shot, asymmetrical, intricate, elegant, matte painting, illustration, hearthstone, by rhads, by greg rutkowski, by greg tocchini, by james gilleard, by joe fenton ",20,7.0,8,576,832,82,0
4807,"symmetry!! portrait of sailor uranus! alien in the style of horizon zero dawn, machine face, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and ross tran and greg rutkowski and alphonse mucha, 8 k ",50,12.0,4,512,704,66,0
16962,scene from the 1912 science fiction film Blade Runner with the main character standing next to a vehicle,20,7.0,8,704,512,18,0
29379,"prize winning oil painting, the moon is almost hidden, The stars are beginning to hide, The fortune telling lady Has taken all her things inside, All except for Cain and Abel, And the hunchback of Notre Dame, Everybody is making love Or else expecting rain And the Good Samaritan, he\'s dressing He\'s getting ready for the carnival tonight on desolation row, in the style of paula rego",20,7.0,8,512,512,88,0
47160,lowpoly render of an american hotdog ,20,7.0,8,512,512,9,0
37799,habs nordiques logos mix ,20,12.0,8,512,512,6,0
6171,"abandoned space station drifting in deep space, matte painting, peter elson, chris foss, terran trade authority ",20,7.0,8,704,512,24,0
53854,"a human avatar design for a game, character concept, concept art, character art, white background by richard scarry, pixar, kazuo oga, ghibli, yoshiyuki tomino, n. c. wyeth, aardman animations, otl archer, low poly, simplfied, exaggerated, charicature, stylised ",20,5.0,8,512,512,79,0
23478,"Nothing breaks like a man that's seen the other side, oil on canvas, volumetric lighting, cinematic, intricate",20,7.0,8,512,512,24,0
32909,"the construction of a unified theory, studio lighting, golden ratio, details, scifi, dark fantasy, intricate, decadent, ornate, highly detailed, digital painting, octane render, ray tracing reflections, 8 k, artstation, concept art, smooth, sharp focus, illustration, art by artgerm, loish, by wlop ",20,17.0,8,512,640,71,0
23945,"Kitava insatiable hunger, path of exile, artstation, concept art, digital painting, highly detailed, portrait",20,7.0,8,512,512,24,0
56665,japan world cup game horse riding on top of astronaut while he on all fours ,20,7.0,8,512,512,15,0
35259,"showdown, wildwest, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ",20,7.0,8,768,512,40,0
1700,"trapped on a hedonic treadmill, dark uncanny surreal painting by leonora carrington, dramatic lighting from fire glow, mouth of hell, ixions wheel ",28,13.0,8,1024,512,32,0
49661,"very very beautiful furry art, bust profile picture of a male robotic anthro dolphin, synthetic cetacean hybrid android, face covered by dark fully opaque visor, wide bottlenose snout below visor, sleek round shapes, all ultramarine metal, integrated design, commission on furaffinity, cgsociety, octane render, sea in background ",20,7.0,8,512,512,76,0
1941,"sunglasses wearing kratos shredding on a flaming stratocaster guitar, cinematic render, god of war 2 0 1 8, santa monica studio official media, sunglasses, lightning ",20,7.0,8,640,704,37,0
12621,concept art of a woman in a bamboo forest ,20,7.0,8,512,512,9,0
34280,"masterpiece of the milky way flowing down a cascading waterfall into a reflective pool under a dark night sky, many sparkling stars in the sky, glowing orbs, everything is in the spirit realm, light leaks, volumetric atmosphere, trending on artstation, dreamy fantasy color scheme, landscape, dreamscape, concept art, 8 k ",20,7.0,8,1024,512,69,0
36797,pompeii watercolor by luigi bazzani and saul leiter ,20,7.0,8,1024,512,15,0
27016,robotic lifeform buddha meditating in front of a beautiful fractal neural network,20,7.0,8,512,512,16,0
37673,artwork by amrita sher - gil ,20,7.0,8,512,512,8,0
45408,"a photo of a young teary - eyed woman clutching a small rose in the rain!!!!!!!!!!, photorealistic!!!!!, photo by annie leibovitz, moody ",7,7.0,8,512,512,46,0
37239,"kodak portra 4 0 0, wetplate, 2 0 0 mm lens, 1 9 3 0 s portrait inside a french bakery by saul leiter, insanely detailed, insanely intricate, depth of field, blueberry ",20,13.0,8,832,832,46,0
37920,"strip performance of fire and ice detailed and highly reliefed analogue mixed media collage with canvas texture in style of contemporary art, punk art, photorealistic face, expressionism, minimalism. masterpiece, perfect composition, photorealistic beautiful face, spectacular quality, intricate details, shattered glass textures, vivid ",20,7.0,8,704,896,61,0
29492,a truck in the woods,35,7.0,8,512,512,5,0
23914,"An atomic bomb explosion in the elder scrolls skyrim, winter scenery, nukes falling",20,7.0,8,512,512,17,0
53831,"a painting of sansa stark as a fremen on arrakis by ross tran and artgerm, highly detailed, deviantart ",20,7.0,8,512,512,29,0
9197,"a giant squid fighting a megalodon in bioluminescent algae, underwater photography ",50,7.0,8,512,512,17,0
50626,gruff human cleric in plate male armor painted by raymond swanland ,20,7.0,8,512,704,12,0
20373,"the stanczyk painting, by Jan Matejko, high detail",20,7.0,8,512,512,14,0
24912,scene from a science fiction film directed by John Carpenter,20,7.0,8,512,512,10,0
7777,"a tibetan man in a dirty barque in a tiny tunnel, leica sl 2 ",50,7.0,8,896,512,17,0
39516,bubblepunk scarred inky leather ,20,7.0,8,1024,576,7,0
34994,"blurry and dreamy screencap of a character from 8 0 s horror anime, vampire woman with short hair wearing dress suit with tie, satoshi kon anime, character design by yoshitaka amano and junji ito, glitchy vhs tape, streets of night tokyo in the background, perfect blue color palette, noisy film grain effect, blurry image ",20,15.0,8,640,512,74,0
15470,"the tall strange creature in the restaurant, film still from the movie directed by Denis Villeneuve with art direction by Salvador Dalí, wide lens ",20,12.0,8,1024,576,27,0
16739,"A silkscreen print serigraph. Her hair is dark brown and cut into a short, messy pixie cut. She has a slightly rounded face, with a pointed chin, large dark eyes with entirely-black sclerae!!!, and a small nose. She is wearing a black leather jacket, a black knee-length skirt, a black choker, and black leather boots.",35,7.0,8,512,640,80,0
6714,"closeup portrait of richard pryor, dramatic lighting, city background, chiaroscuro, high detail, painted by greg rutkowski, trending on artstation ",20,7.0,8,512,512,34,0
59213,"Industrial style humanoid robot wearing human clothes, drinking a cup of coffee, standing in front of his apartment window looking outside, global illumination, radiant light, detailed and intricate environment",20,10.0,8,512,704,34,0
6008,"an ultra detailed black and white 3 d render of a lonely and impossibly tall ominous gothic dark citadel tower of the evil patriarch, in the style of magic the gathering, in a river elevated high above the city, flintlock fantasy capital city, neoclassical and gothic architecture, ultrawide lense, aerial photography, unreal engine, exquisite detail, 8 k, art by greg rutkowski and alphonse mucha ",20,7.0,8,512,512,85,0
22600,"Psylocke, Chloe Bennet, long black hair, purple energy sword, realistic character concept, action pose, comic book, illustration, slender symmetrical face and body, artstation, cinematic lighting, hyperdetailed, artgerm, 8k, Rafeal Albuquerque comic book art, single face, insanely detailed and intricate, beautiful",20,13.0,8,512,640,70,0
52505,"an ultra detailed black and white matte painting of a lonely and impossibly tall ominous gothic dark citadel tower of the evil patriarch, elevated high above the city, in a river elevated high above the city, fantasy capital city, ultrawide lense, aerial photography, scary thunderstorm, light fog, volumetric lighting, exquisite detail, 8 k, art by greg rutkowski and alphonse mucha ",20,7.0,8,512,512,83,0
28969,"seti research facility, autochrome photo",20,7.0,8,512,512,8,0
27422,a black Labrador as the Mona Lisa,20,7.0,8,512,512,7,0
40488,"highly detailed portrait of an angry boy with spikey green hair, in my hero academia, stephen bliss, 8 k, ferdinand knab, makoto shinkai and lois van baarle, anime key visual, big eyes, by akira toriyama, fantasy art by greg rutkowski, shonen art style, by kohei horikoshi, official media ",15,10.0,8,512,704,73,0
24042,"Illustration of a sugar skull day of the dead girl, art by Gilbert Williams",20,7.0,8,512,768,15,0
52287,"grief, surrealist, dada, by mattias adolfsson and max ernst, octane renderer, 8 k, in the aesthetic of leonora carrington and saul bass ",20,7.0,8,512,512,36,0
27640,cute fluffy koala with sunglasses relaxing in a lounge chair on a tropical beach detailed painting,20,7.0,8,512,512,17,0
41377,"the bottom of a mysterious cistern with odd babylonian architecture, lit from a hole in the ceiling, fantasy concept art by craig mullins, gaston bussiere and greg rutkowski ",20,7.0,8,512,512,37,0
57853,"box of the toy of jair bolsonaro as an action figure, hyper real, advertising photography, 8 k ",20,7.0,8,512,640,23,0
52891,"thin young male alchemist, long dark hair, art deco, fantasy, highly detailed, intricate, smooth, art by joseph leyendecker, peter mohrbacher, ruan jia, marc simonetti, ayami kojima, cedric peyravernay, alphonse mucha, victo ngai ",50,14.0,8,512,768,66,0
859,swoock lake. a spooky lake always covered by mist and buzzing insects in a forested area. inspired by balaskas christopher ,35,8.0,8,704,512,28,0
23173,male haircut andy warhol,20,7.0,8,512,512,6,0
52134,google logo by salvador dali ,20,7.0,8,512,512,5,0
28214,Boris Johnson swimming in a swimming pool full of Heinz baked beans,20,7.0,8,512,512,12,0
48071,kermit the frog as a holy sacred god on acid on his throne in the shrine of his classically decorated temple as a masterpiece painting by norman rockwell and delauney ,20,7.0,8,512,512,35,0
26990,"a photo of 8k cute Lemurs in a park playing football, cinematic lighting, trending on artstation, 4k, hyperrealistic, focused, extreme details, unreal engine 5, cinematic, masterpiece",20,7.0,8,1024,512,44,0
19006," Film poster, RoboCop VS Darth Vader, faces look at each other, detailed and realistic, 4k, filmic render",20,7.0,8,512,704,28,0
32122,"modern kitchen, kitchen island, stone countertop, extremely detailed, sharp focus, wide view, smooth, digital illustration, by james jean, by rossdraws, frank franzzeta, mcbess, sakimichan ",20,7.0,8,1024,512,46,0
6377,ingrid bergman as wonder woman in a scene from the 1 9 4 8 film'wonder woman versus the robots '. colourful. action. beautiful. powerful. depth of field. trending on artstation. publicity photograph. bokeh. ,20,7.0,8,832,512,48,0
5770,"photo of homer simpson as a real person, photorealistic, hd, 4 k, detailed ",20,7.0,8,512,512,19,0
42363,"an opulent and elegant health potion, rpg item, fantasy concept art ",20,7.0,8,512,512,14,0
38750,"a tall clay surreal dean ellis god approaching, reference sheet, artstation, concept art, vibrant colors!, smooth, sharp focus, illustration, fantasy style, ray tracing, hyperdetailed, art by hieronymus bosch and francisco goya and norman rockwell and artgerm and alphonse mucha and greg rutkowski ",20,12.0,8,1280,704,69,0
17722,A portrait painted by Ilya Kuvshinov and Pablo Picasso,20,7.0,8,512,640,13,0
18077,"portrait of a robot that is a soundcloud robot full of face tattoos and grills in its teeth, stunning photo, cinematic lighting, perfect composition, 8K, ultra-detailed , Trending on artstation, Octane render, Unreal Engine, highly detailed",35,7.0,8,512,512,54,0
19178,pepe party,50,3.0,8,512,512,3,0
18093,"a ultra realistic photograph of a man's face neon oozing out of his pores, 1950",20,7.0,8,832,576,21,0
52000,"portrait of teenage jughead jones wearing a light grey crown, crown, blue turtleneck, 1 9 5 0 s, closed eyes, photorealistic, black hair, orange lighting, intricate, elegant, glowing lights, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by wlop, mars ravelo and greg rutkowski ",50,13.0,8,512,704,77,0
