id,prompt,step,cfg,sampler,width,height,token_count,timestamp
51730,"painting by sargent and rhads and leyendecker and greg hildebrandt evening sky, low thunder clouds foothpath at indian summer lupins at lake tekapo tundra and taiga in background ",20,7.0,8,1024,576,44,0
33302,"portrait of a cyberpunk robotic male artist, rock band, half skull, music, beautifully, detailed lighting, smooth, elegant, award winning, by alphonse mucha, sachin teng ",20,7.0,8,640,640,41,0
27447,"Detailing oil painting of The great white castle on deep forest landscape by CASPAR DAVID FRIEDRICH and CLAUDE LORRAIN,perfect lighting, golden hour, taken with Canon 5D Mk4",20,7.0,8,512,512,36,0
50480,"natalie portman leon the professional, queen amidala, octane render, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha and william - adolphe bouguereau ",20,7.0,8,512,512,59,0
16551,lidl on the moon,20,7.0,8,512,512,5,0
32280,"giant middle eastern golden armored automaton sentient with swords in desert fighting an army, by philippe druillet ",20,7.0,8,512,512,23,0
24417,"Shark plush ordering a beer at a bar, stuffed toy, fish, dim lighting, 50mm, depth of field,",35,5.0,8,1024,640,24,0
37324,"fullshot serah farron cyberpunk witch, rpg reference, oil painting, trending on artstation, octane render, insanely detailed, 8 k, hd ",20,10.0,8,576,768,35,0
30133,a 8k award winning photo of a hermit crab wearing the queens crown as a shell,20,7.0,8,512,512,17,0
13942,"sonic the hedgehog in a surreal, sharp, detailed professional, high quality portrait sonic airbrush art MGMT album cover portrait of a liquid dissolving LSD DMT blue sonic the hedgehog surfing through cyberspace, purple checkerboard background, 1990s 1992 Sega Genesis video game album cover",20,2.0,8,512,512,59,0
34159,"byzantine gothic camazotz aristocrat, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ",20,7.0,8,512,704,45,0
4930,"spectral purple neon dinosaur, spectral neon pink dinosaur, spectral yellow neon dinosaur, green jungle background, detailed, ultrawide landscape ",20,7.0,8,1280,704,24,0
56966,"seascape in the style of ancient japanese masters, on the shore a giant nose in the shape of mount fuji sniffing the sand in, dali ",50,7.0,8,512,768,28,0
7215,"beautiful happy picturesque charming organic sci - fi pod homes in a beautiful natural scene. water, trees and rocks. beautiful light. grainy and rough. soft colour scheme. beautiful artistic detailed watercolor by lurid. ( 2 0 2 2 ) ",20,7.0,8,512,512,49,0
9851,"oil painting of a willow tree next to a river by albert bierstadt, beautiful lighting - h 7 0 4 ",20,7.0,8,512,512,23,0
21695,"trisha paytas election propaganda poster, photorealistic, poster",50,7.0,8,512,512,13,0
5436,"infographic on how to grow a tree, - n 6 ",49,7.0,8,512,832,12,0
22928,"half-elf rogue girl, hourglass slim figure, blonde and attractive features, dungeons and dragons portrait, highly detailed, digital painting, artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha",17,7.0,8,448,512,54,0
25560,"Pennywise the clown as a central banker, full body shot",20,7.0,8,512,512,12,0
7645,"1 9 8 0 s fantasy novel book cover, nicki minaj in bikini armor wielding a cartoonishly large sword, exaggerated body features, dark and smoky background, menacing dragon within the shadows, low quality print ",50,7.0,8,512,576,42,0
29711,detailed painting of black and white cat sitting up playing piano,20,7.0,8,512,512,11,0
32687,"big lonely colorful nostalgic ballpit, realistic, high detail, detailed, good quality image. ",20,7.0,8,512,512,20,0
48223,a cybrog girl with aquamarine colored twintails illustrated by masamune shirow - 9 ,50,7.0,8,512,640,20,0
29716,strange alien landscape with unusual trees and luminescent flowers with glowing pond detailed airbrush painting,20,7.0,8,512,512,18,0
8745,"david attenborough nature documentry footage, ultra high definition, 8 k, cave exploration, ethereal underground lake, moonlit starry night sky, vast expansive landscape, amethyst opal citrine, muted pastel tones ",20,7.0,8,512,512,48,0
25974,"beautiful portrait of a goddess who looks like Blake Lively , character design by charlie bowater, ross tran, artgerm, and makoto shinkai, detailed, soft lighting, rendered in octane",20,10.0,8,448,512,40,0
25712,parsnips in a suitcase flying to the southern madagascarian reigeon of 12 oclock in the morning,20,7.0,8,512,512,24,0
25844,"scout spaceship with 100-ton hull used for exploration survey and courier duties, peter elson, chris foss",20,7.0,8,512,512,22,0
13262,"detailed vacation travel activity map of the Moon base, colorfully illustrated",50,7.0,8,512,512,13,0
56969,"3 d goddess close - up profile portrait with crown, ram skull. beautiful intricately detailed neon japanese crow kitsune mask and clasical japanese kimono. betta fish, jellyfish phoenix, bio luminescent, plasma, ice, water, wind, creature, artwork by tooth wu and wlop and beeple and greg rutkowski ",50,12.0,8,640,832,71,0
